imdb_rating,languages,movieId,plot,poster,released,runtime,title
8.3,English,1,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.,https://image.tmdb.org/t/p/w440_and_h660_face/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,1995-11-22,81,Toy Story
6.9,English,2,"When two kids find and play a magical board game, they release a man trapped for decades in it and a host of dangers that can only be stopped by finishing the game.",https://image.tmdb.org/t/p/w440_and_h660_face/vgpXmVaVyUL7GGiDeiK1mKEKzcX.jpg,1995-12-15,104,Jumanji
6.6,English,3,"John and Max resolve to save their beloved bait shop from turning into an Italian restaurant, just as its new female owner catches Max's attention.",https://image.tmdb.org/t/p/w440_and_h660_face/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,1995-12-22,101,Grumpier Old Men
5.6,English,4,"Based on Terry McMillan's novel, this film follows four very different African-American women and their relationships with the male gender.",https://image.tmdb.org/t/p/w440_and_h660_face/4wjGMwPsdlvi025ZqR4rXnFDvBz.jpg,1995-12-22,124,Waiting to Exhale
5.9,English,5,"In this sequel, George Banks deals not only with the pregnancy of his daughter, but also with the unexpected pregnancy of his wife.",https://image.tmdb.org/t/p/w440_and_h660_face/lf9RTErt8BSLQy98aSFblElvsCQ.jpg,1995-12-08,106,Father of the Bride Part II
8.2,English,6,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,https://image.tmdb.org/t/p/w440_and_h660_face/rrBuGu0Pjq7Y2BWSI6teGfZzviY.jpg,1995-12-15,170,Heat
6.2,English,7,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",https://image.tmdb.org/t/p/w440_and_h660_face/z1oNjotUI7D06J4LWQFQzdIuPnf.jpg,1995-12-15,127,Sabrina
5.6,English,8,"Tom and Huck witness Injun Joe's killing of Doc Robinson one night at the graveyard. When an innocent man is accused of killing the Doc, Tom steps up as a witness, not respecting the promise made to Huck to lay low.",https://image.tmdb.org/t/p/w440_and_h660_face/lOnbEStMnDGKWJGvPEsMoZDML1b.jpg,1995-12-22,97,Tom and Huck
5.7,English,9,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.,https://image.tmdb.org/t/p/w440_and_h660_face/4Snihptli0we9I4W5QfufOdHSeV.jpg,1995-12-22,111,Sudden Death
7.2,English,10,James Bond teams up with the lone survivor of a destroyed Russian research center to stop the hijacking of a nuclear space weapon by a fellow agent formerly believed to be dead.,https://image.tmdb.org/t/p/w440_and_h660_face/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,1995-11-17,130,GoldenEye
6.8,English,11,"Comedy-drama about a widowed U.S. president and a lobbyist who fall in love. It's all above-board, but politics is perception and sparks fly anyway.",https://image.tmdb.org/t/p/w440_and_h660_face/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,1995-11-17,114,"American President, The"
5.8,English,12,Mel Brooks' parody of the classic vampire story and its famous film adaptations.,https://image.tmdb.org/t/p/w440_and_h660_face/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg,1995-12-22,88,Dracula: Dead and Loving It
7.1,English,13,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",https://image.tmdb.org/t/p/w440_and_h660_face/tpoaKJMRjOZl9cbZRR2aiKikyRC.jpg,1995-12-22,78,Balto
7.1,English,14,"A biographical story of former U.S. president Richard Milhous Nixon, from his days as a young boy to his eventual presidency which ended in shame.",https://image.tmdb.org/t/p/w440_and_h660_face/ORlTkdDwWU94O16MlwfIR4g5Hk.jpg,1996-01-05,192,Nixon
5.6,English,15,A female pirate and her companion race against their rivals to find a hidden island that contains a fabulous treasure.,https://image.tmdb.org/t/p/w440_and_h660_face/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg,1995-12-22,124,Cutthroat Island
