personId,name,dob,labels
9816,François Lallement,1877-02-04,"[""Actor"",""Person""]"
9817,Jules-Eugène Legris,1862-01-01,"[""Actor"",""Person""]"
9818,Lillian Gish,1893-10-14,"[""Actor"",""Person""]"
9819,Mae Marsh,1894-11-09,"[""Actor"",""Person""]"
9820,Henry B. Walthall,1878-03-16,"[""Actor"",""Person""]"
9821,Miriam Cooper,1891-11-07,"[""Actor"",""Person""]"
9822,Dan Hanlon,,"[""Actor"",""Person""]"
9823,Edna Pendleton,,"[""Actor"",""Person""]"
9824,Curtis Benton,1885-08-26,"[""Actor"",""Person""]"
9825,Allen Holubar,1888-08-03,"[""Actor"",""Person""]"
9826,Spottiswoode Aitken,1868-04-16,"[""Actor"",""Person""]"
9827,Mary Alden,1883-06-18,"[""Actor"",""Person""]"
9828,Frank Bennett,,"[""Actor"",""Person""]"
9830,Edna Purviance,1895-10-21,"[""Actor"",""Person""]"
9831,Eric Campbell,1879-04-26,"[""Actor"",""Person""]"
9832,Albert Austin,1882-12-13,"[""Actor"",""Person""]"
9834,'Snub' Pollard,1889-11-09,"[""Actor"",""Person""]"
9835,Bebe Daniels,1901-01-14,"[""Actor"",""Person""]"
9836,Werner Krauss,1884-06-23,"[""Actor"",""Person""]"
9837,Conrad Veidt,1893-01-22,"[""Actor"",""Person""]"
9838,Friedrich Feher,1889-03-16,"[""Actor"",""Person""]"
9839,Lil Dagover,1887-09-30,"[""Actor"",""Person""]"
9841,Albert Steinrück,1872-05-20,"[""Actor"",""Person""]"
9842,Lyda Salmonova,1889-07-14,"[""Actor"",""Person""]"
9843,Ernst Deutsch,1890-09-16,"[""Actor"",""Person""]"
9844,Marguerite De La Motte,1902-06-22,"[""Actor"",""Person""]"
9845,Robert McKim,1886-08-26,"[""Actor"",""Person""]"
9846,Noah Beery,1882-01-17,"[""Actor"",""Person""]"
9847,Charles Hill Mailes,1870-05-25,"[""Actor"",""Person""]"
9849,Virginia Fox,1902-04-19,"[""Actor"",""Person""]"
9850,Joe Roberts,1871-02-02,"[""Actor"",""Person""]"
9853,Carl Miller,1893-08-09,"[""Actor"",""Person""]"
9854,Jackie Coogan,1914-10-26,"[""Actor"",""Person""]"
9856,Rudolf Klein-Rogge,1885-11-24,"[""Actor"",""Person""]"
9857,Aud Egede-Nissen,1893-05-30,"[""Actor"",""Person""]"
9858,Gertrude Welcker,1896-07-16,"[""Actor"",""Person""]"
9859,Alfred Abel,1879-03-12,"[""Actor"",""Person""]"
9860,Maren Pedersen,,"[""Actor"",""Person""]"
9861,Clara Pontoppidan,1883-04-23,"[""Actor"",""Person""]"
9862,Elith Pio,1887-07-03,"[""Actor"",""Person""]"
9863,Oscar Stribolt,1872-02-12,"[""Actor"",""Person""]"
9864,Allakariallak,,"[""Actor"",""Person""]"
9865,Nyla,,"[""Actor"",""Person""]"
9866,Allee,,"[""Actor"",""Person""]"
9867,Cunayou,,"[""Actor"",""Person""]"
9868,Max Schreck,1879-09-06,"[""Actor"",""Person""]"
9869,Gustav von Wangenheim,1895-02-18,"[""Actor"",""Person""]"
9870,Greta Schröder,1891-09-07,"[""Actor"",""Person""]"
