personId,name,dob,labels
9833,Harold Lloyd,1893-04-20,"[""Actor"",""Director"",""Person""]"
9840,Paul Wegener,1874-12-11,"[""Actor"",""Director"",""Person""]"
9848,Buster Keaton,1895-10-04,"[""Actor"",""Director"",""Person""]"
9851,Malcolm St. Clair,1897-05-17,"[""Actor"",""Director"",""Person""]"
9852,Edward F. Cline,1891-11-04,"[""Actor"",""Director"",""Person""]"
9918,Lon Chaney,1883-04-01,"[""Actor"",""Director"",""Person""]"
9930,Donald Crisp,1882-07-27,"[""Actor"",""Director"",""Person""]"
9991,Walt Disney,1901-12-05,"[""Actor"",""Director"",""Person""]"
10110,Osgood Perkins,1892-05-16,"[""Actor"",""Director"",""Person""]"
10146,Charles Laughton,1899-07-01,"[""Actor"",""Director"",""Person""]"
10156,John Wayne,1907-05-26,"[""Actor"",""Director"",""Person""]"
10242,Ida Lupino,1918-02-04,"[""Actor"",""Director"",""Person""]"
10258,Leslie Howard,1893-04-03,"[""Actor"",""Director"",""Person""]"
10285,Erich von Stroheim,1885-09-22,"[""Actor"",""Director"",""Person""]"
10407,Laurence Olivier,1907-05-22,"[""Actor"",""Director"",""Person""]"
10456,Robert Taylor,1911-08-05,"[""Actor"",""Director"",""Person""]"
10488,Robert Montgomery,1904-05-21,"[""Actor"",""Director"",""Person""]"
10511,Paul Henreid,1908-01-10,"[""Actor"",""Director"",""Person""]"
10551,Liev Schreiber,1967-10-04,"[""Actor"",""Director"",""Person""]"
10638,Orson Welles,1915-05-06,"[""Actor"",""Director"",""Person""]"
10655,Dick Powell,1904-11-14,"[""Actor"",""Director"",""Person""]"
10666,Gene Kelly,1912-08-23,"[""Actor"",""Director"",""Person""]"
10723,John Ireland,1914-01-31,"[""Actor"",""Director"",""Person""]"
10748,Burt Lancaster,1913-11-02,"[""Actor"",""Director"",""Person""]"
10793,Robert Mitchum,1917-08-06,"[""Actor"",""Director"",""Person""]"
10911,John Derek,1926-08-12,"[""Actor"",""Director"",""Person""]"
10959,Jerry Lewis,1926-03-16,"[""Actor"",""Director"",""Person""]"
10975,Don Taylor,1920-12-13,"[""Actor"",""Director"",""Person""]"
10987,Marlon Brando,1924-04-03,"[""Actor"",""Director"",""Person""]"
10991,Sidney Poitier,1927-02-20,"[""Actor"",""Director"",""Person""]"
11041,Jack Smith,,"[""Actor"",""Director"",""Person""]"
11155,Vittorio De Sica,1901-07-07,"[""Actor"",""Director"",""Person""]"
11178,Otto Preminger,1906-12-05,"[""Actor"",""Director"",""Person""]"
11187,Jacques Tati,1907-10-09,"[""Actor"",""Director"",""Person""]"
11319,Peter Sellers,1925-09-08,"[""Actor"",""Director"",""Person""]"
11339,Gene Nelson,1920-03-24,"[""Actor"",""Director"",""Person""]"
11415,Anthony Perkins,1932-04-04,"[""Actor"",""Director"",""Person""]"
11521,Bryan Forbes,1926-07-22,"[""Actor"",""Director"",""Person""]"
11527,Victor Sjöström,1879-09-20,"[""Actor"",""Director"",""Person""]"
11549,Steve McQueen,1930-03-24,"[""Actor"",""Director"",""Person""]"
11553,Paul Newman,1925-01-26,"[""Actor"",""Director"",""Person""]"
11668,Marcel Camus,1912-04-21,"[""Actor"",""Director"",""Person""]"
11745,Mel Welles,1924-02-17,"[""Actor"",""Director"",""Person""]"
12011,Richard Attenborough,1923-08-29,"[""Actor"",""Director"",""Person""]"
12035,Fritz Lang,1890-12-05,"[""Actor"",""Director"",""Person""]"
12056,Jack Nicholson,1937-04-22,"[""Actor"",""Director"",""Person""]"
12083,John Gielgud,1904-04-14,"[""Actor"",""Director"",""Person""]"
12099,John Lennon,1940-10-09,"[""Actor"",""Director"",""Person""]"
12100,Paul McCartney,1942-06-18,"[""Actor"",""Director"",""Person""]"
12101,George Harrison,1943-02-25,"[""Actor"",""Director"",""Person""]"
12109,John Cassavetes,1929-12-09,"[""Actor"",""Director"",""Person""]"
12113,Warren Beatty,1937-03-30,"[""Actor"",""Director"",""Person""]"
12134,Clint Eastwood,1930-05-31,"[""Actor"",""Director"",""Person""]"
12201,Bill Melendez,1916-11-15,"[""Actor"",""Director"",""Person""]"
