personId,name,dob,labels
27977,Stuart Paton,1883-07-23,"[""Director"",""Person""]"
27981,Carl Boese,1887-08-26,"[""Director"",""Person""]"
27989,Benjamin Christensen,1879-09-28,"[""Director"",""Person""]"
27990,Robert J. Flaherty,1884-02-16,"[""Director"",""Person""]"
27991,F.W. Murnau,1888-12-28,"[""Director"",""Person""]"
27992,John G. Blystone,1892-12-02,"[""Director"",""Person""]"
27993,Fred C. Newmeyer,1888-08-09,"[""Director"",""Person""]"
27996,Raoul Walsh,1887-03-11,"[""Director"",""Person""]"
27997,Sergei M. Eisenstein,1898-01-23,"[""Director"",""Person""]"
28000,Harry O. Hoyt,1885-08-06,"[""Director"",""Person""]"
28001,Rupert Julian,1879-01-25,"[""Director"",""Person""]"
28003, Ernst Laemmle,,"[""Director"",""Person""]"
28004, Edward Sedgwick,1891-11-07,"[""Director"",""Person""]"
28007, J.J. Cohn,1895-12-03,"[""Director"",""Person""]"
28011,Alfred Hitchcock,1899-08-13,"[""Director"",""Person""]"
28013,George Fitzmaurice,1885-02-13,"[""Director"",""Person""]"
28014,Walter Ruttmann,1887-12-28,"[""Director"",""Person""]"
28015,James W. Horne,1880-12-14,"[""Director"",""Person""]"
28016,Clyde Bruckman,1894-06-30,"[""Director"",""Person""]"
28018, J.A. Howe,,"[""Director"",""Person""]"
28020, Lewis Milestone,1895-09-30,"[""Director"",""Person""]"
28021,Abel Gance,1889-10-25,"[""Director"",""Person""]"
28022,William A. Wellman,1896-02-29,"[""Director"",""Person""]"
28023, Harry d'Abbadie d'Arrast,,"[""Director"",""Person""]"
28024,Georg Wilhelm Pabst,1885-08-25,"[""Director"",""Person""]"
28026,Carl Theodor Dreyer,1889-02-03,"[""Director"",""Person""]"
28028,Ub Iwerks,1901-03-24,"[""Director"",""Person""]"
28031,Dziga Vertov,1896-01-03,"[""Director"",""Person""]"
28032,Robert Florey,1900-09-14,"[""Director"",""Person""]"
28033, Joseph Santley,1890-01-10,"[""Director"",""Person""]"
28034,Allan Dwan,1885-04-03,"[""Director"",""Person""]"
28037,Victor Heerman,1893-08-27,"[""Director"",""Person""]"
28039,Mervyn LeRoy,1900-10-15,"[""Director"",""Person""]"
28040,Wesley Ruggles,1889-06-11,"[""Director"",""Person""]"
28041,Tod Browning,1880-07-12,"[""Director"",""Person""]"
28043,Mario Peixoto,1908-03-25,"[""Director"",""Person""]"
28044,Roy Del Ruth,1893-10-18,"[""Director"",""Person""]"
28045,Norman Z. McLeod,1898-09-20,"[""Director"",""Person""]"
28047,Frank Borzage,1894-04-23,"[""Director"",""Person""]"
28048,Edmund Goulding,1891-03-20,"[""Director"",""Person""]"
28049,Karl Freund,1890-01-16,"[""Director"",""Person""]"
28050,Victor Fleming,1889-02-23,"[""Director"",""Person""]"
28051,Howard Hawks,1896-05-30,"[""Director"",""Person""]"
28052, Richard Rosson,1893-04-04,"[""Director"",""Person""]"
28053,Ernst Lubitsch,1892-01-28,"[""Director"",""Person""]"
28054,Yasujirô Ozu,1903-12-11,"[""Director"",""Person""]"
28055,Victor Halperin,,"[""Director"",""Person""]"
28057,Leo McCarey,1896-10-03,"[""Director"",""Person""]"
28059,Merian C. Cooper,1893-10-24,"[""Director"",""Person""]"
28060, Ernest B. Schoedsack,1893-06-08,"[""Director"",""Person""]"
28062,Rouben Mamoulian,1897-10-07,"[""Director"",""Person""]"
28063,Lowell Sherman,1888-10-11,"[""Director"",""Person""]"
28064,Colbert Clark,1898-08-31,"[""Director"",""Person""]"
28065, Armand Schaefer,1898-08-05,"[""Director"",""Person""]"
28066,Harry L. Fraser,1889-03-31,"[""Director"",""Person""]"
28067,Jean Vigo,1905-04-26,"[""Director"",""Person""]"
28068,Gus Meins,1893-03-06,"[""Director"",""Person""]"
28069, Charley Rogers,1887-01-15,"[""Director"",""Person""]"
28070,Harry Lachman,1886-06-29,"[""Director"",""Person""]"
28071,Edgar G. Ulmer,1904-09-17,"[""Director"",""Person""]"
28072,Mark Sandrich,1901-10-26,"[""Director"",""Person""]"
28074,Hamilton MacFadden,1901-04-26,"[""Director"",""Person""]"
28075,Cedric Gibbons,1893-03-23,"[""Director"",""Person""]"
28076, Jack Conway,1887-07-17,"[""Director"",""Person""]"
28077, James C. McKay,,"[""Director"",""Person""]"
28078,W.S. Van Dyke,1889-03-21,"[""Director"",""Person""]"
28080,Michael Curtiz,1886-12-24,"[""Director"",""Person""]"
28086,William A. Seiter,1890-06-10,"[""Director"",""Person""]"
28087,William Wyler,1902-07-01,"[""Director"",""Person""]"
28088,Robert Z. Leonard,1889-10-07,"[""Director"",""Person""]"
28091,Gregory La Cava,1892-03-10,"[""Director"",""Person""]"
28092,Archie Mayo,1891-01-29,"[""Director"",""Person""]"
28093,George Stevens,1904-12-18,"[""Director"",""Person""]"
28094,Louis J. Gasnier,1875-09-13,"[""Director"",""Person""]"
28097, Gustav Machatý,1901-03-09,"[""Director"",""Person""]"
28099,Jean Renoir,1894-09-15,"[""Director"",""Person""]"
28102,William Dieterle,1893-07-15,"[""Director"",""Person""]"
28103,Garson Kanin,1912-11-24,"[""Director"",""Person""]"
28104,Julien Duvivier,1896-10-03,"[""Director"",""Person""]"
28108, Larry Morey,1905-03-26,"[""Director"",""Person""]"
28109, Perce Pearce,1899-09-07,"[""Director"",""Person""]"
28111,King Vidor,1894-02-08,"[""Director"",""Person""]"
28113, William Keighley,1889-08-04,"[""Director"",""Person""]"
28114,Edwin L. Marin,1899-02-21,"[""Director"",""Person""]"
28115,Anthony Asquith,1902-11-09,"[""Director"",""Person""]"
28117,Edward Buzzell,1900-11-13,"[""Director"",""Person""]"
28119,Thorold Dickinson,1903-11-16,"[""Director"",""Person""]"
28122,Dave Fleischer,1894-07-14,"[""Director"",""Person""]"
28123,Sidney Lanfield,1898-04-20,"[""Director"",""Person""]"
28126,Rowland V. Lee,1891-09-05,"[""Director"",""Person""]"
28129,Busby Berkeley,1895-11-29,"[""Director"",""Person""]"
28131, Norman Taurog,1899-02-23,"[""Director"",""Person""]"
28133,Norman Ferguson,1902-09-02,"[""Director"",""Person""]"
28134, James Algar,1912-06-11,"[""Director"",""Person""]"
28135, Samuel Armstrong,1893-02-05,"[""Director"",""Person""]"
28136, Ford Beebe Jr.,,"[""Director"",""Person""]"
28138, T. Hee,1911-03-26,"[""Director"",""Person""]"
28144,Victor Schertzinger,1888-04-08,"[""Director"",""Person""]"
28149,Michael Powell,1905-09-30,"[""Director"",""Person""]"
28153,George Waggner,1894-09-07,"[""Director"",""Person""]"
28154,Alfred L. Werker,1896-12-02,"[""Director"",""Person""]"
28156, Graham Heid,1909-11-14,"[""Director"",""Person""]"
28158,Jacques Tourneur,1904-11-12,"[""Director"",""Person""]"
28160,Erle C. Kenton,1896-08-01,"[""Director"",""Person""]"
28161,Stuart Heisler,1896-12-05,"[""Director"",""Person""]"
28162,Vincent Sherman,1906-07-16,"[""Director"",""Person""]"
28163,Zoltan Korda,1895-06-03,"[""Director"",""Person""]"
28164, Fred Fleck,1892-06-04,"[""Director"",""Person""]"
28166,Billy Wilder,1906-06-22,"[""Director"",""Person""]"
28168,Irving Rapper,1898-01-16,"[""Director"",""Person""]"
28171,Vincente Minnelli,1903-02-28,"[""Director"",""Person""]"
28173,Delmer Daves,1904-07-24,"[""Director"",""Person""]"
28174,Roy William Neill,1887-09-04,"[""Director"",""Person""]"
28175,Lewis Seiler,1890-09-30,"[""Director"",""Person""]"
28176,Fred M. Wilcox,1907-12-22,"[""Director"",""Person""]"
28177, Emeric Pressburger,1902-12-05,"[""Director"",""Person""]"
28178,Arthur Lubin,1898-07-25,"[""Director"",""Person""]"
28181,Robert Siodmak,1900-08-08,"[""Director"",""Person""]"
28183,Gunther von Fritsch,1906-07-15,"[""Director"",""Person""]"
28187,Leslie Goodwins,1899-09-17,"[""Director"",""Person""]"
28188,Reginald Le Borg,1902-12-11,"[""Director"",""Person""]"
28189,Edward Dmytryk,1908-09-04,"[""Director"",""Person""]"
28194,David Lean,1908-03-25,"[""Director"",""Person""]"
28196,Marcel Carné,1906-08-18,"[""Director"",""Person""]"
28200,S. Sylvan Simon,1910-03-09,"[""Director"",""Person""]"
28201,Charles Vidor,1900-07-26,"[""Director"",""Person""]"
28203, Clyde Geronimi,1901-06-12,"[""Director"",""Person""]"
28205,Jean Cocteau,1889-07-05,"[""Director"",""Person""]"
28206, René Clément,1913-03-18,"[""Director"",""Person""]"
28207, Otto Brower,1895-12-02,"[""Director"",""Person""]"
28209, William Cameron Menzies,1896-07-29,"[""Director"",""Person""]"
28212,Sidney Gilliat,1908-02-15,"[""Director"",""Person""]"
28213,Robert Cormack,1909-04-01,"[""Director"",""Person""]"
28214, Joshua Meador,1911-03-12,"[""Director"",""Person""]"
28216,Tay Garnett,1894-06-13,"[""Director"",""Person""]"
28217, Harve Foster,,"[""Director"",""Person""]"
28218,James Edward Grant,1905-07-02,"[""Director"",""Person""]"
28219,Irving Reis,1906-05-07,"[""Director"",""Person""]"
28220,Henry Koster,1905-05-01,"[""Director"",""Person""]"
28221,Robert Rossen,1908-03-16,"[""Director"",""Person""]"
28222,H.C. Potter,1904-11-13,"[""Director"",""Person""]"
28224,Joseph L. Mankiewicz,1909-02-11,"[""Director"",""Person""]"
28225,Henry Hathaway,1898-03-13,"[""Director"",""Person""]"
28226,Douglas Sirk,1897-04-26,"[""Director"",""Person""]"
28227,George Seaton,1911-04-17,"[""Director"",""Person""]"
28228,Elliott Nugent,1896-09-20,"[""Director"",""Person""]"
28229,Carol Reed,1906-12-30,"[""Director"",""Person""]"
28230,Curtis Bernhardt,1899-04-15,"[""Director"",""Person""]"
28231,Henri-Georges Clouzot,1907-11-20,"[""Director"",""Person""]"
28233,Charles Barton,1902-05-25,"[""Director"",""Person""]"
28236,Abraham Polonsky,1910-12-05,"[""Director"",""Person""]"
28238,Jean Negulesco,1900-02-26,"[""Director"",""Person""]"
28240,Max Ophüls,1902-05-06,"[""Director"",""Person""]"
28242,Anatole Litvak,1902-05-10,"[""Director"",""Person""]"
28243,Nicholas Ray,1911-08-07,"[""Director"",""Person""]"
28244,Akira Kurosawa,1910-03-23,"[""Director"",""Person""]"
28247,Stanley Donen,1924-04-13,"[""Director"",""Person""]"
28249,Harold D. Schuster,1902-08-01,"[""Director"",""Person""]"
28251,Rudolph Maté,1898-01-21,"[""Director"",""Person""]"
28252,Joseph H. Lewis,1907-04-06,"[""Director"",""Person""]"
28254,Compton Bennett,1900-01-15,"[""Director"",""Person""]"
28255, Andrew Marton,1904-01-26,"[""Director"",""Person""]"
28257,Jules Dassin,1911-12-18,"[""Director"",""Person""]"
28259,Byron Haskin,1899-04-22,"[""Director"",""Person""]"
28260,Charles Lamont,1895-05-05,"[""Director"",""Person""]"
28261,Bretaigne Windust,1906-01-20,"[""Director"",""Person""]"
28267,Brian Desmond Hurst,,"[""Director"",""Person""]"
28268,Lee Sholem,1913-05-25,"[""Director"",""Person""]"
28271,Felix E. Feist,1910-02-28,"[""Director"",""Person""]"
